J0108+1320 | *3C33, radec J2000, 01:08:53.2000, +13:20:24.000, (20 12000 0.8237 1.294 -0.3823)
J0358+1025 | *3C98, radec J2000, 03:58:54.7000, +10:25:46.000, (20 6000 2.61 -0.1785 -0.1036)
J0408-6544 | *04-62, radec J2000, 04:08:20.3800, -65:45:09.600, (200 12000 3.061 -0.09748 -0.1612)
J0408-7507 | *04-71, radec J2000, 04:08:48.3800, -75:07:20.400, (200 12000 1.362 0.7345 -0.254)
J0519-4546 | *05-43, radec J2000, 05:19:44.3000, -45:46:40.000, (20 12000 0.9927 1.73 -0.4697)
J0522-3627 | *05-36, radec J2000, 05:22:58.0100, -36:27:31.900, (20 12000 3.107 -0.6302 0.01213)
J0535-0523 | *3C145, radec J2000, 05:35:18.4000, -05:23:06.000, (200 2000 2.849 -0.07507)
J0541-0154 | *3C147.1, radec J2000, 05:41:42.6000, -01:54:16.000, (100 6000 -3.564 3.208 -0.4861)
J0538-6904 | *MC74, radec J2000, 05:38:43.5000, -69:04:57.000, (200 12000 -3.94 3.799 -0.6469)
J0609+2029 | *NRAO229, radec J2000, 06:09:35.6000, +20:29:18.000, (400 2000 3.859 -0.8909)
J0627-0553 | *3C161, radec J2000, 06:27:10.1000, -05:53:04.800, (20 12000 2.084 0.2768 -0.1683)
J0752-2625 | *OI-2483, radec J2000, 07:52:22.3000, -26:25:37.000, (200 12000 -2.956 3.169 -0.5998)
J0824-4259 | *PUP A, radec J2000, 08:24:07.4000, -42:59:46.000, (200 2000 7.345 -1.934)
J0859-4345 | *CTB32, radec J2000, 08:59:28.3000, -43:45:44.000, (750 12000 8.041 -1.73)
J0859-4731 | *CTB31, radec J2000, 08:59:07.3000, -47:31:23.000, (750 12000 5.569 -0.9902)
J0903-3836 | *09-32, radec J2000, 09:03:56.6000, -38:36:57.000, (200 2000 1.627 -0.1991)
J0918-1205 | *HYDRA A, radec J2000, 09:18:05.6000, -12:05:42.000, (20 12000 3.721 -0.4157 -0.07763)
J0924-5159 | *RCW42, radec J2000, 09:24:25.6000, -51:59:37.000, (750 6000 2.138 -0.2099)
J1211-5309 | *12-51, radec J2000, 12:11:56.0000, -53:09:37.000, (20 12000 -12.77 12.69 -2.528)
J1219+0549 | *3C270, radec J2000, 12:19:23.3000, +05:49:30.000, (20 6000 1.888 0.369 -0.1855)
J1229+0203 | *3C273, radec J2000, 12:29:06.7000, +02:03:08.600, (20 12000 4.656 -1.856 0.2812)
J1230+1223 | *M87, radec J2000, 12:30:49.4230, +12:23:28.040, (20 30000 4.083 -0.3323 -0.07247)
J1256-0547 | *3C279, radec J2000, 12:56:11.1670, -05:47:21.530, (20 12000 3.2 -1.226 0.1753)
J1346-6022, radec J2000, 13:46:57.6000, -60:22:58.000, (750 12000 -30.45 20.01 -3.099)
J1615-6055 | *16-61, radec J2000, 16:15:01.5000, -60:55:18.000, (750 12000 0.08319 2.14 -0.5243)
J1634-4735 | *CTB33, radec J2000, 16:34:36.4000, -47:35:56.000, (750 12000 12.52 -4.777 0.4517)
J1639-4651, radec J2000, 16:39:48.6000, -46:51:01.000, (750 6000 9.804 -2.566)
J1651+0459 | *HER A, radec J2000, 16:51:08.1000, +04:59:33.000, (20 6000 4.364 -0.6741 -0.05733)
J1720-0058 | *3C353, radec J2000, 17:20:30.4000, -00:58:38.000, (20 12000 2.663 0.2458 -0.1693)
J1730-2129 | *3C358, radec J2000, 17:30:40.5000, -21:29:14.000, (20 12000 2.398 0.02931 -0.1276)
J1740-3057, radec J2000, 17:40:18.5000, -30:57:49.000, (20 12000 -0.1744 2.032 -0.4703)
J1819-6345 | *18-61, radec J2000, 18:19:34.9900, -63:45:48.100, (200 12000 1.966 0.3715 -0.2023)
J1823-1228, radec J2000, 18:23:55.7000, -12:28:37.000, (750 12000 -18.15 12.44 -2.005)
J1847-0202 | *W43, radec J2000, 18:47:18.1000, -02:02:40.000, (750 12000 17.79 -4.736)
J1849-0055 | *3C391, radec J2000, 18:49:22.4000, -00:55:21.000, (20 12000 0.1986 1.348 -0.3217)
J1904+0526 | *3C396, radec J2000, 19:04:03.9000, +05:26:56.000, (20 6000 0.4686 1.069 -0.2732)
J1935-4620 | *19-46, radec J2000, 19:35:56.5000, -46:20:39.000, (20 12000 3.012 -0.2026 -0.1281)
J1939-6342, radec J2000, 19:39:25.0100, -63:42:45.700, (200 12000 -11.11 7.777 -1.231)
J2014+2334 | *3C409, radec J2000, 20:14:27.7000, +23:34:52.000, (20 6000 2.538 0.1782 -0.1994)
J2107-2526 | *21-21, radec J2000, 21:07:20.6000, -25:26:59.000, (20 12000 0.472 1.414 -0.3859)
J2123+2504 | *3C433, radec J2000, 21:23:44.8000, +25:04:07.000, (20 6000 2.29 0.1239 -0.1597)
J2157-6941 | *21-64, radec J2000, 21:57:05.8000, -69:41:22.000, (200 12000 2.923 -0.1222 -0.1043)
J2253+1608 | *3C454.3, radec J2000, 22:53:57.7480, +16:08:53.560, (20 12000 1.294 -0.1173 0.01293)
J2358-6054 | *23-64, radec J2000, 23:58:59.2000, -60:54:57.000, (200 12000 -3.752 4.341 -0.8574)
