# Compiled from 1Jy, pkscat90 and other catalogues
J0137+3309 | *3C48 | 3C48.0 | 1Jy 0134+32 | CTA15, radec J2000, 1:37:41.30, 33:09:35.1, (26.0 14900.0 3.866 -0.851)
J0319+4130 | *3C84 | 3C84.0 | 1Jy 0316+41 | Perseus A | PerA | CTA22 | NGC1275, radec J2000, 3:19:48.16, 41:30:42.1, (26.0 90000.0 -0.3096 0.495)
J0322-3712 | *Fornax A | ForA | 1Jy 0320-37 | CTA23 | NGC1316, radec J2000, 3:22:41.52, -37:12:33.5, (408.0 5000.0 3.486 -0.4651)
J0408-6545 | 1Jy 0407-65 | J0408-6544 | PKS 04-62, radec J2000, 4:08:20.38, -65:45:09.1, (200.0 12000.0 3.061 -0.09748 -0.1612)
J0437+2940 | *3C123 | 3C123.0 | 1Jy 0433+29 | Perseus B | PerB | CTA31 | W7, radec J2000, 04:37:04.38, +29:40:13.8, (26.0 87200.0 4.275 -0.8324)
J0519-4546 | *Pictoris A | Pictor A | PicA | 1Jy 0518-45 | CTA35 | PKS 05-43, radec J2000, 5:19:49.69, -45:46:44.5, (80.0 5000.0 6.51 -1.38 0 0 -8.31 -1)

J0522-3627 | 1Jy 0521-36 | PKS 05-36, radec J2000, 5:22:57.99, -36:27:30.9, (20.0 12000.0 3.107 -0.6302 0.01213)
J0534+2200 | 3C144 | 3C144.0 | *Taurus A | TauA | Crab | M1 | CTA36 | W9 | NGC1952, radec J2000, 5:34:31.95, 22:00:52.1, (1400.0 10000.0 3.915 -0.299)
